"","ID","lat","lon","ele","time","magvar","geoidheight","name","cmt","desc","src","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","Proximity","Temperature","Depth","DisplayMode","Samples","Expiration","CreationTime"
"23",23,41.27831404,-119.893086,2196.941162,"2022-08-06T23:20:51Z",NA,NA,"MHCAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-06T23:20:51Z"
"24",24,41.27885702,-119.892814,2199.37915,"2022-08-06T23:25:08Z",NA,NA,"MHCAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-06T23:25:08Z"
"25",25,41.27929397,-119.892373,2197.647217,"2022-08-06T23:32:02Z",NA,NA,"MHCAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-06T23:32:02Z"
"26",26,41.27778799,-119.893211,2197.061523,"2022-08-07T03:40:01Z",NA,NA,"MHCAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T03:40:01Z"
"27",27,41.27810198,-119.893119,2198.575439,"2022-08-06T23:18:11Z",NA,NA,"MHTRI",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-06T23:18:11Z"
"28",28,41.27875904,-119.897105,2155.948975,"2022-06-05T20:12:09Z",NA,NA,"UC CAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T20:12:09Z"
"29",29,41.27830801,-119.896967,2152.791992,"2022-06-05T20:32:49Z",NA,NA,"UC CAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T20:32:49Z"
"30",30,41.27805403,-119.897334,2152.777588,"2022-06-05T20:34:46Z",NA,NA,"UC CAM3",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T20:34:46Z"
"31",31,41.27789897,-119.897709,2155.207764,"2022-06-05T20:36:56Z",NA,NA,"UC CAM4",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-06-05T20:36:56Z"
"32",32,41.26689998,-119.88348,1988.677979,"2022-05-05T20:33:09Z",NA,NA,"UISCAM1",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T20:33:09Z"
"33",33,41.26559501,-119.882379,2000.623901,"2022-08-07T01:46:10Z",NA,NA,"UISCAM10",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T01:46:10Z"
"34",34,41.26700602,-119.885842,2014.895386,"2022-08-07T00:50:14Z",NA,NA,"UISCAM14",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-08-07T00:50:14Z"
"35",35,41.26574999,-119.88209,1996.711426,"2022-05-05T20:19:51Z",NA,NA,"UISCAM2",NA,NA,NA,"Flag, Blue","user",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SymbolAndName",NA,NA,"2022-05-05T20:19:51Z"
