Date,Observers,Region,Spring,Line,Check#,TrapType,Time,Species,Sex,Breeding,Bag Weight,Weight,Tail,Ear,Hindfoot,Mark,Recap,RecapColor,ParasiteType,TissueType,TissueID,NOTES
7/11/2023,"EW,GP",Spring,BBS,Water,4,SS,8:06,Peromyscus maniculatus,F,P,8,36,74,19,19,,N,,None,,,
7/11/2023,"EW,GP",Spring,BBS,Water,4,MS,8:13,Peromyscus maniculatus,,,,,,,,,Y,Blue,,,,
7/11/2023,"EW,GP",Spring,BBS,Water,4,LS,8:20,Peromyscus maniculatus,F,P,8,28,69,16,20,,N,,None,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,LS,8:54,Kangaroo Rat,F,NB,8,49,134,16,39,,N,,None,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,PS,9:01,Peromyscus maniculatus,,,,,,,,,Y,Red/Blue,,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,LS,9:04,Tamias spp.,F,P,0,36,60,12,29,,N,,,,,Mortality
7/11/2023,"EW,GP",Spring,DVS,UOF,3,MS,9:04,Tamias spp.,,,,,,,,,Y,Red/Blue,,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,PS,9:14,Peromyscus maniculatus,,,,,,,,,Y,Red/Blue,,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,MS,9:17,Tamias spp.,F,P,8,43,92,10,28,,N,,None,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,MS,9:27,Peromyscus maniculatus,F,NB,10,36,66,9,17,,N,,None,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,MS,9:32,Tamias spp.,,,,,,,,,Y,Blue,,,,Mortality
7/11/2023,"EW,GP",Spring,DVS,UOF,3,MS,9:34,Peromyscus maniculatus,,,,,,,,,Y,Red/Blue,None,,,
7/11/2023,"EW,GP",Spring,DVS,UOF,3,LS,9:39,Tamias spp.,M,NB,16,45,72,12,26,,N,,None,,,
7/6/2023,"EW,GP",Spring,UIS,Water,1,XS,9:09,Peromyscus maniculatus,M,S,8,38,64,20,22,Blue,N,,"Botfly, Flea",,,
7/7/2023,"EW,GP",Spring,UIS,UOF,2,LS,8:57,Tamias spp.,M,S,15,62,61,14,32,Blue,N,,None,,,
7/7/2023,"EW,GP",Spring,UIS,Water,2,LS,9:17,Peromyscus maniculatus,,,,,,,,,Y,Blue,,,,
7/7/2023,"EW,GP",Spring,UIS,Water,2,MS,9:21,Tamias spp.,M,NB,14,55,82,18,28,Blue,Y,,None,,,
7/7/2023,"EW,GP",Spring,UIS,UOF,3,MS,18:17,Tamias spp.,F,P,8,67,80,15,28,Blue,N,,None,,,
7/7/2023,"EW,GP",Spring,UIS,UOF,3,PS,18:26,Tamias spp.,M,S,10,67,87,13,30,Blue,N,,None,,,
7/7/2023,"EW,GP",Spring,UIS,UOF,3,MS,18:33,Tamias spp.,F,P,12,77,72,15,29,Blue,N,,None,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,MS,8:31,Tamias spp.,F,,,,,,,,Y,Blue,,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,LS,8:36,Tamias spp.,,,,,,,,,Y,Blue,,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,PS,8:42,Tamias spp.,M,NB,13,44,78,14,27,,N,,None,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,XS,8:46,Tamias spp.,F,P,11,54,80,12,29,,N,,None,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,MS,8:50,Tamias spp.,,,,,,,,,Y,,,,,
7/8/2023,"EW,GP",Spring,UIS,UOF,4,MS,8:57,Tamias spp.,M,S,8,44,59,11,25,,N,,None,,,
7/8/2023,"EW,GP",Spring,UIS,Water,4,LS,9:10,Microtus spp.,F,P,12,62,61,5,21,,N,,Flea,,,
